price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
13300000,7420.0,4,2,3,yes,no,no,no,yes,2.0,yes,furnished
12250000,8960.0,4,4,4,yes,no,no,no,yes,3.0,no,furnished
12250000,9960.0,3,2,2,yes,no,yes,no,no,2.0,yes,semi-furnished
12215000,7500.0,4,2,2,yes,no,yes,no,yes,3.0,yes,furnished
11410000,7420.0,4,1,2,yes,,yes,no,yes,2.0,no,furnished
10850000,7500.0,3,3,1,yes,no,yes,no,yes,2.0,yes,semi-furnished
10150000,8580.0,4,3,4,yes,no,no,no,yes,2.0,yes,semi-furnished
10150000,16200.0,5,3,2,yes,no,no,no,no,0.0,no,unfurnished
9870000,8100.0,4,1,2,yes,yes,yes,no,yes,2.0,yes,furnished
9800000,5750.0,3,2,4,yes,yes,no,no,yes,1.0,yes,unfurnished
9800000,13200.0,3,1,2,yes,no,yes,no,yes,2.0,yes,furnished
9681000,6000.0,4,3,2,yes,yes,yes,yes,no,2.0,no,semi-furnished
9310000,6550.0,4,2,2,yes,no,no,no,yes,1.0,yes,semi-furnished
9240000,3500.0,4,2,2,yes,no,no,yes,no,2.0,no,furnished
9240000,7800.0,3,2,2,yes,no,no,no,no,0.0,yes,semi-furnished
9100000,6000.0,4,1,2,yes,,yes,no,no,2.0,no,semi-furnished
9100000,6600.0,4,2,2,yes,yes,yes,no,yes,1.0,yes,unfurnished
8960000,8500.0,3,2,4,yes,no,no,no,yes,2.0,no,furnished
8890000,4600.0,3,2,2,yes,yes,no,no,yes,2.0,no,furnished
8855000,6420.0,3,2,2,yes,no,no,no,yes,1.0,yes,semi-furnished
8750000,4320.0,3,1,2,yes,,yes,,no,2.0,no,semi-furnished
8680000,7155.0,3,2,1,yes,,yes,no,yes,2.0,no,unfurnished
8645000,8050.0,3,1,1,yes,yes,yes,no,yes,1.0,no,furnished
8645000,4560.0,3,2,2,yes,yes,yes,no,yes,1.0,no,furnished
8575000,8800.0,3,2,2,yes,no,no,no,yes,2.0,no,furnished
8540000,6540.0,4,2,2,yes,yes,yes,no,yes,2.0,yes,furnished
8463000,6000.0,3,2,4,yes,yes,yes,no,yes,0.0,yes,semi-furnished
8400000,8875.0,3,1,1,yes,no,no,no,no,1.0,no,semi-furnished
8400000,7950.0,5,2,2,yes,no,yes,yes,no,2.0,no,unfurnished
8400000,5500.0,4,2,2,yes,no,yes,no,yes,1.0,yes,semi-furnished
8400000,7475.0,3,2,4,yes,no,no,no,yes,2.0,no,unfurnished
8400000,7000.0,3,1,4,yes,no,no,no,yes,2.0,no,semi-furnished
8295000,4880.0,4,2,2,yes,no,no,no,yes,1.0,yes,furnished
8190000,5960.0,3,3,2,yes,yes,yes,no,no,1.0,no,unfurnished
8120000,6840.0,5,1,2,yes,yes,yes,no,yes,1.0,no,furnished
8080940,7000.0,3,2,4,yes,no,no,no,yes,2.0,no,furnished
8043000,7482.0,3,2,3,yes,no,no,yes,no,1.0,yes,furnished
7980000,9000.0,4,2,4,yes,no,no,no,yes,2.0,no,furnished
7962500,6000.0,3,1,4,yes,yes,no,no,yes,2.0,no,unfurnished
7910000,6000.0,4,2,4,yes,no,no,no,yes,1.0,no,semi-furnished
7875000,6550.0,3,1,2,yes,no,yes,no,yes,0.0,yes,furnished
7840000,6360.0,3,2,4,yes,no,no,no,yes,0.0,yes,furnished
7700000,6480.0,3,2,4,yes,no,no,no,yes,0.0,no,unfurnished
7700000,6000.0,4,2,4,yes,no,no,no,no,0.0,no,semi-furnished
7560000,6000.0,4,2,4,yes,,no,no,yes,0.0,no,furnished
7560000,6000.0,3,2,3,yes,,no,no,yes,0.0,no,semi-furnished
7525000,6000.0,3,2,4,yes,no,no,no,yes,0.0,no,furnished
7490000,6600.0,3,1,4,yes,no,no,no,yes,3.0,yes,furnished
7455000,4300.0,3,2,2,yes,no,yes,no,no,1.0,no,unfurnished
7420000,7440.0,3,2,1,yes,,yes,no,yes,0.0,yes,semi-furnished
7420000,7440.0,3,2,4,yes,no,no,no,no,1.0,yes,unfurnished
7420000,6325.0,3,1,4,yes,,no,no,yes,1.0,no,unfurnished
7350000,6000.0,4,2,4,yes,yes,no,no,yes,1.0,no,furnished
7350000,5150.0,3,2,4,yes,no,no,no,yes,2.0,no,semi-furnished
7350000,6000.0,3,2,2,yes,yes,no,no,yes,1.0,no,semi-furnished
7350000,6000.0,3,1,2,yes,no,no,no,yes,1.0,no,unfurnished
7343000,11440.0,4,1,2,yes,no,yes,no,no,1.0,yes,semi-furnished
7245000,9000.0,4,2,4,yes,yes,no,no,yes,1.0,yes,furnished
7210000,7680.0,4,2,4,yes,yes,no,no,yes,1.0,no,semi-furnished
7210000,6000.0,3,2,4,yes,yes,no,no,yes,1.0,no,furnished
7140000,6000.0,3,2,2,yes,yes,no,no,no,1.0,no,semi-furnished
7070000,8880.0,2,1,1,yes,no,no,no,yes,1.0,no,semi-furnished
7070000,6240.0,4,2,2,yes,no,no,no,yes,1.0,no,furnished
7035000,6360.0,4,2,3,yes,no,no,no,yes,2.0,yes,furnished
7000000,11175.0,3,1,1,yes,no,yes,no,yes,1.0,yes,furnished
6930000,8880.0,3,2,2,yes,no,yes,no,yes,1.0,no,furnished
6930000,13200.0,2,1,1,yes,no,yes,yes,no,1.0,no,furnished
6895000,7700.0,3,2,1,yes,no,no,no,no,2.0,no,unfurnished
6860000,6000.0,3,1,1,yes,no,no,no,yes,1.0,no,furnished
6790000,12090.0,4,2,2,yes,no,no,no,no,2.0,yes,furnished
6790000,4000.0,3,2,2,yes,no,yes,no,yes,0.0,yes,semi-furnished
6755000,6000.0,4,2,4,yes,no,no,no,yes,0.0,no,unfurnished
