Date,Open,High,Low,Close,Adj Close,Volume,EMA10,EMA30,ATR,ADX,RSI,MACD,MACDsignal,ClgtEMA10,EMA10gtEMA30,MACDSIGgtMACD,target_cls
2000-11-16,1396.75,1402.75,1376.5,1379.25,1379.25,180156,1396.300225041956,1402.77072297219,31.179556067898734,26.9447481389046,41.65345939038099,-4.726233431212449,1.3789797617476125,-1,-1,1,0
2000-11-17,1378.75,1393.5,1360.25,1370.5,1370.5,90660,1391.6092750343275,1400.688740844952,31.32744492019168,27.342043928131407,40.05112765478424,-6.469624598965993,-0.1907411103951086,-1,-1,1,0
2000-11-20,1369.75,1373.5,1345.25,1347.75,1347.75,82907,1383.6348613917226,1397.2733382097938,31.107627425892275,28.056237409791112,36.15666328882614,-9.576616259183538,-2.0679161401527946,-1,-1,1,1
2000-11-21,1348.25,1362.75,1336.5,1356.0,1356.0,82365,1378.610341138682,1394.6105421962586,30.76065403832854,28.912116548893227,38.49237467177465,-11.243614098280888,-3.903055731778413,-1,-1,1,0
2000-11-22,1356.0,1361.0,1322.0,1323.0,1323.0,76824,1368.499370022558,1389.990507215855,31.3491787498765,30.01246780094836,33.25196134936492,-15.054012814402313,-6.133247148303193,-1,-1,1,1
2000-11-24,1323.25,1349.5,1320.25,1346.5,1346.5,24125,1364.499484563911,1387.1846680406384,31.199237410599608,31.07077007462453,39.56209877904007,-15.993168357638297,-8.105231390170214,-1,-1,1,1
2000-11-27,1348.5,1367.75,1348.5,1359.0,1359.0,89335,1363.4995782795636,1385.3663023605973,30.48857759555678,31.08576702309509,42.66689164124761,-15.5495646566676,-9.59409804346969,-1,-1,1,0
2000-11-28,1358.5,1364.5,1337.5,1338.5,1338.5,89335,1358.954200410552,1382.342669950236,30.23939348158844,31.38067818449327,39.11773259338204,-16.660136518793934,-11.00730573853454,-1,-1,1,0
2000-11-29,1338.0,1357.5,1333.0,1335.25,1335.25,112125,1354.6443457904516,1379.304433179253,29.82943680433212,31.768357875167705,38.56996307281772,-17.599642832211657,-12.325773157269962,-1,-1,1,0
2000-11-30,1332.75,1333.75,1296.75,1321.0,1321.0,121701,1348.5271920103694,1375.5428568451075,30.448762746879822,32.922178239862355,36.17784263418341,-19.27190968366768,-13.715000462549504,-1,-1,1,0
2000-12-01,1321.5,1338.25,1310.0,1320.75,1320.75,93584,1343.4767934630297,1372.0078338228427,30.29170826495984,33.750867909186546,36.135500015362126,-20.382410382857643,-15.048482446611132,-1,-1,1,1
2000-12-04,1323.0,1337.5,1313.25,1329.5,1329.5,92525,1340.9355582879332,1369.2653929310463,29.860157674605567,34.52036545927329,38.83385383426815,-20.32217690919901,-16.10322133912871,-1,-1,1,1
2000-12-05,1331.5,1380.25,1329.0,1374.25,1374.25,95863,1346.992729508309,1369.586980483882,31.388003554990885,33.149868754410804,50.38062025079524,-16.473593111783202,-16.17729569365961,1,-1,1,0
2000-12-06,1373.0,1379.5,1339.25,1354.5,1354.5,99873,1348.3576877795256,1368.6136269042768,32.02100330106297,31.877264671324205,46.23246453264668,-14.846086226494208,-15.91105380022653,1,-1,-1,0
2000-12-07,1354.25,1362.0,1335.25,1337.0,1337.0,12054,1346.2926536377936,1366.5740380717427,31.644503065272755,30.82526753540139,42.864662305049976,-14.797799222618096,-15.688402884704844,-1,-1,-1,1
2000-12-08,1332.0,1384.25,1332.0,1353.25,1353.25,6007,1347.5576257036494,1365.7144227122756,33.11632427489613,28.895724270069422,46.7440873592268,-13.29503533955176,-15.209729375674224,1,-1,-1,1
2000-12-11,1368.5,1392.0,1362.5,1383.0,1383.0,3868,1354.0016937575313,1366.8296212469677,33.51872968383212,26.863187234926432,53.03169896207053,-9.592926481427869,-14.086368796824951,1,-1,-1,0
2000-12-12,1380.5,1381.25,1355.0,1378.25,1378.25,1616,1358.4104767107074,1367.5664198761954,33.12453470641554,25.206645022087223,51.97654316256632,-6.962010122710353,-12.661497062002033,1,-1,-1,0
2000-12-13,1378.25,1387.75,1358.0,1358.0,1358.0,2668,1358.335844581488,1366.949231497086,32.88349651310014,23.41643985136327,47.62602040675004,-6.436796335992085,-11.416556916800044,-1,-1,-1,0
2000-12-14,1358.25,1362.75,1335.25,1337.0,1337.0,1376,1354.4566001121264,1365.017023013403,32.4989610478787,22.604951588772423,43.55459071110383,-7.627163923765465,-10.658678318193129,-1,-1,-1,0
2000-12-15,1317.75,1340.75,1317.75,1332.0,1332.0,98832,1350.3735819099215,1362.8868924964092,31.82046383017308,22.42723973604131,42.62035786743839,-8.871729254086404,-10.301288505371785,-1,-1,-1,1
