Date,mom,mom1,mom2,mom3,ROC_5,ROC_10,ROC_15,ROC_20,EMA_10,EMA_20,EMA_50,EMA_200,DTB4WK,DTB3,DTB6,DGS5,DGS10,Oil,Gold,DAAA,DBAA,AAPL,AMZN,GE,JNJ,JPM,MSFT,WFC,XOM,DJI,IXIC,RUT,NYSE,TE1,TE2,TE3,TE5,TE6,DE1,DE2,DE4,DE5,DE6,CTB3M,CTB6M,CTB1Y,AUD,Brent,CAC-F,copper-F,WIT-oil,DAX-F,DJI-F,EUR,FTSE-F,gold-F,NASDAQ-F,GAS-F,Nikkei-F,NZD,silver-F,RUSSELL-F,S&P-F,CHF,Dollar index-F,Dollar index,wheat-F,XAG,XAU,target
2010-10-15,0.0020274848,-0.0036413862,0.0071210202,0.0038187573,0.947510344,2.6128865911,2.3958052309,4.4954180944,1165.31052244,1152.37170436,1128.70014879,1120.41659696,0.14,0.14,0.17,1.2,2.59,-0.017893846,-0.0041871473,4.81,5.85,0.0411167528,0.0585739089,-0.0501166084,-0.0026671163,-0.0405474938,0.0122869996,-0.0461164663,-0.0016845482,-0.0028653692,0.013710443,-0.0021712086,-0.003443906,2.45,2.45,2.42,0.0,0.03,1.04,3.26,5.68,5.71,5.71,0.0,-0.0263157895,0.0169491525,-0.37,-2.46,0.26,0.66,-1.74,0.35,-0.25,-0.72,-0.61,-0.41,1.6,-3.34,-0.52,0.01,-1.72,-0.58,0.13,0.35,0.51,0.51,-0.3,-1.3,-0.88,1
2010-10-18,0.007243745,0.0020274848,-0.0036413862,0.0071210202,1.6639220041,4.1933749139,3.7253909902,3.6754733426,1168.83769309,1155.45153832,1130.89661201,1121.05633193,0.14,0.15,0.18,1.14,2.52,0.0225286224,-0.0001828154,4.74,5.78,0.0103577495,-0.0065597729,-0.0030674235,0.004561916,0.028263767,0.0109631554,0.0547074215,0.0167203094,0.0073137272,0.0048161197,0.0099124414,0.0067148897,2.38,2.37,2.34,0.01,0.04,1.04,3.26,5.6,5.63,5.64,0.0588235294,0.027027027,-0.05,-0.09,2.33,-0.3,0.42,2.25,0.55,0.19,-0.22,0.85,0.01,-0.02,-2.94,-0.32,0.17,0.92,0.61,0.28,0.07,-0.17,-0.14,-2.05,0.25,0.05,1
2010-10-19,-0.0158772507,0.007243745,0.0020274848,-0.0036413862,-0.330833919,0.4436807237,1.5857866844,2.2916698254,1168.30357144,1156.4466322,1132.26929483,1121.50253782,0.14,0.14,0.18,1.11,2.5,-0.0420178184,-0.0206619126,4.7,5.75,-0.0267610008,-0.0298972858,-0.0110769231,-0.008925775,-0.0133508373,-0.0278853602,-0.0128669878,-0.0175014487,-0.0148128947,-0.0176202956,-0.0225028951,-0.0194753991,2.36,2.36,2.32,0.0,0.04,1.05,3.25,5.57,5.61,5.61,0.0,-0.0263157895,-0.0263157895,-2.09,-3.88,-0.73,-2.47,-4.32,-0.44,-0.92,-1.53,-0.72,-2.63,-1.29,2.39,0.42,-1.84,-2.59,-1.74,-1.23,1.27,1.66,1.62,-2.58,-4.14,-2.51,0
2010-10-20,0.0105240756,-0.0158772507,0.007243745,0.0020274848,0.0059475428,1.5690124275,2.9212185043,3.8694161828,1170.09747554,1158.51552856,1134.06932421,1122.0663936,0.14,0.14,0.17,1.11,2.51,0.0296594194,0.0,4.69,5.74,0.0033603574,0.0,-0.0012446173,0.0048980407,0.0108781908,0.008366494,0.0427698999,0.0136670602,0.0117819552,0.00838751,0.0114672055,0.0134920367,2.37,2.37,2.34,0.0,0.03,1.05,3.23,5.57,5.6,5.6,-0.0555555556,-0.0540540541,0.0,1.83,3.08,0.58,0.88,2.87,0.61,1.1,1.69,0.39,0.61,0.79,0.74,-1.57,1.4,1.03,0.91,0.94,-1.01,-1.29,-1.29,2.52,2.44,0.82,1
2010-10-21,0.0017739086,0.0105240756,-0.0158772507,0.007243745,0.5494884756,1.9169947903,3.4227182507,4.9278607584,1171.94520908,1160.58643155,1135.88072365,1122.64543456,0.13,0.13,0.18,1.15,2.57,-0.0231905285,0.003360717,4.71,5.77,-0.0032524427,0.0397050676,0.0031153273,0.0061321386,-0.0104986095,0.0043461479,0.0167969141,0.0046962277,0.0034750352,0.0009278255,-0.0056828561,-0.0010819169,2.44,2.44,2.39,0.0,0.05,1.06,3.2,5.59,5.64,5.64,0.0588235294,0.0571428571,0.036036036,-0.89,-2.12,1.31,-0.32,-1.48,1.16,0.18,-0.34,0.6,-1.38,-0.18,-4.83,-0.11,-0.98,-3.69,-0.53,0.09,0.64,0.28,0.32,-3.09,-3.26,-1.55,1
2010-10-22,0.0023892583,0.0017739086,0.0105240756,-0.0158772507,0.5857910155,1.53885179,3.2139836615,2.9956306582,1173.96970852,1162.72867198,1137.73167394,1123.24677308,0.13,0.13,0.18,1.17,2.59,0.013994752,-0.015630815,4.7,5.77,-0.0066231777,0.0252167302,-0.0024845342,-0.0028129551,0.0,-0.0015736035,0.0030733768,0.0003015078,-0.0012569555,0.0080173241,0.0076061394,0.0009633518,2.46,2.46,2.41,0.0,0.05,1.07,3.18,5.59,5.64,5.64,0.0,-0.0540540541,0.0173913043,0.48,1.38,-0.3,0.42,1.4,0.02,0.06,0.23,-0.41,-0.02,1.15,-1.07,0.53,0.05,0.67,0.72,0.43,0.96,0.08,0.06,-0.04,0.56,0.2,1
2010-10-25,0.0021469715,0.0023892583,0.0017739086,0.0105240756,0.0768149193,1.7420150637,4.2734109708,3.8050675655,1176.08794242,1164.90879798,1139.60964732,1123.86740215,0.13,0.14,0.18,1.2,2.59,0.0104744301,0.011342155,4.69,5.72,0.00445569,-0.000768669,0.0,0.0026641435,-0.0167109014,-0.0074861311,-0.0149368818,-0.0021103257,0.0028286608,0.0046221875,0.0063403921,0.003119767,2.46,2.45,2.41,0.01,0.05,1.03,3.13,5.54,5.58,5.59,0.0,0.0571428571,0.0256410256,0.86,0.7,0.12,1.71,1.02,0.54,0.23,0.1,0.39,1.05,0.21,-0.45,0.11,0.66,0.48,0.55,0.17,-0.42,-0.5,-0.48,0.09,1.55,0.92,1
2010-10-26,1.68856801373e-05,0.0021469715,0.0023892583,0.0017739086,1.6931118101,1.356676503,2.1443045445,3.3057476361,1177.82468289,1166.8831996,1141.41475978,1124.48205502,0.14,0.14,0.18,1.27,2.67,0.0073170732,-0.0059813084,4.78,5.8,-0.0025579783,0.005621284,0.0062267127,-0.0021881838,0.0035069059,0.0281857472,0.0073872864,0.0049849247,0.0004846051,0.002585439,-0.001356174,-0.0020645764,2.53,2.53,2.49,0.0,0.04,1.02,3.13,5.62,5.66,5.66,0.0,0.0810810811,0.0583333333,-0.56,0.14,-0.57,0.18,0.04,-0.25,0.08,-0.75,-0.79,-0.02,0.36,1.12,-0.74,-0.52,2.42,-0.23,0.0,1.17,0.79,0.79,3.65,0.85,-0.04,1
2010-10-27,-0.002690584,1.68856801373e-05,0.0021469715,0.0023892583,0.3632673417,0.36923649,1.937979479,3.2950976788,1178.66564073,1168.36574735,1143.02398296,1125.05885,0.14,0.14,0.18,1.34,2.75,-0.0084745763,-0.0037608123,4.8,5.84,-0.0007140887,-0.0143571759,-0.0030939975,-0.0042293233,0.0091397847,0.0057914672,-0.0061752219,-0.0129265145,-0.0038658707,0.0023905798,-0.0038193499,-0.0066300644,2.61,2.61,2.57,0.0,0.04,1.04,3.09,5.66,5.7,5.7,0.0,0.0,0.0551181102,-1.37,-0.51,-0.94,-2.36,-0.74,-0.8,-0.47,-0.66,-1.04,-1.18,0.37,-1.85,0.53,0.03,-2.97,-0.26,-0.34,0.47,0.6,0.57,0.61,-1.22,-1.09,0
2010-10-28,0.0011248493,-0.002690584,1.68856801373e-05,0.0021469715,0.2982409783,0.8493682537,2.2209530326,3.7311671774,1179.59552951,1169.83377418,1144.62225928,1125.64314034,0.14,0.13,0.18,1.23,2.69,0.0036630037,0.006795017,4.81,5.85,-0.0084138027,-0.0039997554,-0.0018622594,-0.0001572912,-0.0007992275,0.0088292518,0.0073786796,0.0083752553,-0.0011081941,0.0016419018,-0.0045439006,0.0032055069,2.55,2.56,2.51,-0.01,0.04,1.04,3.16,5.67,5.72,5.71,0.0,-0.075,-0.0820895522,0.7,0.43,0.62,0.32,0.29,0.48,-0.21,1.18,0.55,1.51,0.09,18.17,-0.43,0.86,2.02,-0.84,0.04,-0.53,-1.12,-1.07,2.06,1.95,1.44,1
2010-10-29,-0.0004392868,0.0011248493,-0.002690584,1.68856801373e-05,0.0152190897,0.6010992573,1.5543050789,3.2296918903,1180.26179869,1171.1124633,1146.13746519,1126.21644253,0.14,0.12,0.17,1.17,2.63,-0.0091240876,0.009936258,4.75,5.78,-0.0139561988,-0.0096499643,-0.0037313433,0.0028319855,0.003199227,0.014840144,0.0046259829,0.0040772727,0.0004084991,1.58712109273e-05,0.0033093404,0.0011326009,2.49,2.51,2.46,-0.02,0.03,1.03,3.15,5.61,5.66,5.64,-0.0555555556,-0.0810810811,-0.0487804878,0.48,-0.53,-0.14,-1.4,-0.91,0.12,0.15,0.13,-0.08,1.12,-0.18,3.8,-1.92,1.59,2.89,0.66,0.04,-0.18,-0.05,-0.05,-0.4,2.96,1.13,0
2010-11-01,0.0009465333,-0.0004392868,0.0011248493,-0.002690584,-0.1045857868,-0.027851205,1.6356073768,4.1643558035,1181.01056347,1172.3760387,1147.63717263,1126.79518444,0.14,0.13,0.16,1.17,2.66,0.0182934316,0.0057545944,4.76,5.79,0.0106319157,-0.0160382138,-0.0043695381,-0.0007844838,-0.0055807333,0.0104987252,-0.0049884499,0.0069183188,0.0005513233,-0.0010248919,-0.0068102341,-0.0005510374,2.52,2.53,2.5,-0.01,0.02,1.03,3.13,5.63,5.66,5.65,-0.0588235294,0.0,0.0,0.37,1.77,0.26,1.26,1.87,-0.11,0.22,-0.42,0.26,-0.51,0.33,-5.1,-0.33,0.05,-1.76,-1.08,0.28,0.98,0.03,0.04,-2.82,-0.32,-0.57,1
2010-11-02,0.0077592841,0.0009465333,-0.0004392868,0.0011248493,0.6688312557,2.3732671267,2.0345816351,2.8274775792,1183.29408757,1174.39450606,1149.43845786,1127.45960993,0.13,0.13,0.16,1.15,2.63,0.0116952014,-0.0025839793,4.66,5.71,0.0170294138,0.0124861544,-0.0006269592,0.0029832313,-0.0122928654,0.0163264558,0.0015425762,0.0132934883,0.0057619594,0.0114498056,0.0205136524,0.0097120971,2.5,2.5,2.47,0.0,0.03,1.05,3.08,5.55,5.58,5.58,0.0,0.0,-0.0170940171,1.26,0.93,0.61,1.43,1.15,0.78,0.56,1.07,1.2,0.46,1.0,0.99,0.11,0.55,1.16,1.99,0.82,-1.25,-0.76,-0.75,-1.56,1.18,0.43,1
2010-11-03,0.0036780542,0.0077592841,0.0009465333,-0.0004392868,1.3116842693,1.6797165317,1.6857639763,3.2750839203,1185.96061001,1176.63883511,1151.34126191,1128.16110596,0.13,0.13,0.16,1.11,2.67,0.0064354666,-0.0040710585,4.78,5.83,0.0111197407,0.023449365,0.0075281681,0.0048528647,0.0205628252,-0.0131434105,0.0188679253,0.0019163474,0.002360427,0.0026642773,0.0031561671,0.0034647235,2.54,2.54,2.51,0.0,0.03,1.05,3.16,5.67,5.7,5.7,0.0,0.0,-0.0347826087,0.6,1.14,-0.58,-1.38,0.94,-0.7,0.22,0.75,-0.18,-1.42,0.65,-0.88,1.39,2.0,-1.61,0.43,0.38,-0.73,-0.35,-0.31,-0.11,-0.36,-0.65,1
